City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,0.58,63,96,15.71,TF,1723866860
1,bredasdorp,-34.5322,20.0403,7.35,90,0,2.65,ZA,1723866862
2,tiksi,71.6872,128.8694,12.97,54,11,2.72,RU,1723866863
3,jinchang,38.4953,102.1739,28.06,20,0,4.18,CN,1723866864
4,lagunillas,10.1301,-71.2595,26.47,82,42,2.99,VE,1723866866
5,yellowknife,62.456,-114.3525,14.67,91,20,4.12,CA,1723866867
6,ushuaia,-54.8,-68.3,2.81,87,100,4.63,AR,1723866776
7,ribeira grande,38.5167,-28.7,22.65,82,0,1.34,PT,1723866870
8,lebu,-37.6167,-73.65,6.78,84,100,7.06,CL,1723866872
9,jabat,7.75,168.9751,29.05,74,94,6.67,MH,1723866874
10,adamstown,-25.066,-130.1015,19.33,70,100,9.79,PN,1723866875
11,wailua homesteads,22.0669,-159.378,27.44,77,75,6.17,US,1723866877
12,udachny,66.4167,112.4,14.93,64,39,4.1,RU,1723866878
13,aasiaat,68.7098,-52.8699,-0.59,94,74,1.1,GL,1723866879
14,kapuskasing,49.4169,-82.4331,20.05,83,100,2.57,CA,1723866880
15,tazovsky,67.4667,78.7,12.9,92,100,4.51,RU,1723866882
16,kodiak,57.79,-152.4072,13.73,88,100,2.06,US,1723866883
17,lazaro cardenas,17.9583,-102.2,27.43,75,74,0.66,MX,1723866885
18,urangan,-25.3,152.9,20.36,85,1,7.06,AU,1723866886
19,ancud,-41.8697,-73.8203,4.67,80,9,2.26,CL,1723866887
20,hawaiian paradise park,19.5933,-154.9731,26.73,81,100,3.09,US,1723866888
21,edinburgh of the seven seas,-37.0676,-12.3116,11.28,68,83,14.71,SH,1723866890
22,keflavik,64.0049,-22.5624,8.24,87,0,3.6,IS,1723866891
23,mana,5.6592,-53.7767,26.08,81,0,4.85,GF,1723866892
24,izhevsk,56.85,53.2333,13.96,95,100,0.45,RU,1723866894
25,puerto francisco de orellana,-0.4667,-76.9667,20.46,95,5,0.56,EC,1723866895
26,waitangi,-43.9535,-176.5597,9.9,90,77,0.45,NZ,1723866896
27,klaksvik,62.2266,-6.589,11.33,86,78,10.72,FO,1723866898
28,lubang,13.8584,120.124,29.44,68,94,0.49,PH,1723866899
29,kourou,5.1552,-52.6478,25.05,83,59,3.34,GF,1723866900
30,utrik,11.2278,169.8474,28.29,81,100,8.27,MH,1723866901
31,chinchilla,-26.75,150.6333,25.57,44,0,1.34,AU,1723866903
32,port lincoln,-34.7333,135.8667,14.6,66,71,7.13,AU,1723866904
33,sekong,-6.3996,106.0252,31.9,51,100,0.75,ID,1723866905
34,nuuk,64.1835,-51.7216,4.34,87,100,5.14,GL,1723866907
35,tura,25.5198,90.2201,29.74,71,92,0.33,IN,1723866908
36,invercargill,-46.4,168.35,7.79,97,100,0.45,NZ,1723866851
37,port moresby,-9.4431,147.1797,30.68,66,40,5.14,PG,1723866911
38,mount gambier,-37.8333,140.7667,14.89,69,9,4.92,AU,1723866912
39,ujae,8.9322,165.7642,28.81,77,38,4.24,MH,1723866913
40,puerto ayora,-0.7393,-90.3518,19.75,96,58,0.89,EC,1723866915
41,bethel,41.3712,-73.414,21.68,85,34,0.45,US,1723866916
42,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,48,20,7.0,RU,1723866917
43,puerto natales,-51.7236,-72.4875,0.45,91,100,2.23,CL,1723866919
44,susuman,62.7833,148.1667,17.03,35,100,0.32,RU,1723866920
45,whitehorse,60.7161,-135.0538,20.43,36,75,5.14,CA,1723866921
46,makokou,0.5738,12.8642,19.93,93,96,1.23,GA,1723866923
47,dudinka,69.4058,86.1778,17.36,62,100,5.23,RU,1723866924
48,grytviken,-54.2811,-36.5092,-4.21,46,0,2.63,GS,1723866925
49,port alfred,-33.5906,26.891,18.34,27,0,3.96,ZA,1723866927
50,ginir,7.1333,40.7,15.39,81,62,4.68,ET,1723866928
51,rajula,21.05,71.4333,29.41,69,100,4.23,IN,1723866929
52,avarua,-21.2078,-159.775,22.03,68,75,4.63,CK,1723866932
53,kuybyshevo,47.8123,38.9073,19.88,31,21,2.3,RU,1723866933
54,sitka,57.0531,-135.33,15.94,72,40,6.17,US,1723866935
55,mount isa,-20.7333,139.5,28.87,18,0,4.63,AU,1723866936
56,hermanus,-34.4187,19.2345,6.0,81,0,5.32,ZA,1723866937
57,anna regina,7.2644,-58.5077,27.03,77,10,3.26,GY,1723866939
58,port elizabeth,-33.918,25.5701,15.73,89,0,4.63,ZA,1723866940
59,lycksele,64.5954,18.6735,4.93,93,100,1.54,SE,1723866941
60,alice springs,-23.7,133.8833,23.75,23,0,3.09,AU,1723866943
61,haiku-pauwela,20.9219,-156.3051,27.32,77,0,9.77,US,1723866944
62,codrington,-38.2667,141.9667,14.29,73,19,5.83,AU,1723866945
63,olonkinbyen,70.9221,-8.7187,5.18,96,66,4.43,SJ,1723866946
64,vilyuchinsk,52.9306,158.4028,17.15,66,8,3.12,RU,1723866948
65,klyuchi,52.2667,79.1667,22.59,38,4,5.01,RU,1723866949
66,ola,59.5833,151.2833,13.09,72,100,3.84,RU,1723866950
67,grand gaube,-20.0064,57.6608,21.32,83,61,1.34,MU,1723866952
68,badger,64.8,-147.5333,12.14,89,20,6.69,US,1723866953
69,kavieng,-2.5744,150.7967,26.81,81,91,2.27,PG,1723866954
70,wewak,-3.5534,143.6268,27.77,79,100,3.04,PG,1723866956
71,penhalonga,-18.8911,32.6978,8.07,93,2,0.79,ZW,1723866957
72,labrador city,52.9463,-66.9114,19.54,63,20,4.92,CA,1723866959
73,nicoya,10.1483,-85.452,24.56,93,100,0.75,CR,1723866960
74,iqaluit,63.7506,-68.5145,8.85,57,20,5.14,CA,1723866961
75,vila franca do campo,37.7167,-25.4333,23.23,91,27,2.58,PT,1723866962
76,nova sintra,14.8667,-24.7167,26.52,83,19,1.06,CV,1723866964
77,flying fish cove,-10.4217,105.6791,26.82,73,75,6.69,CX,1723866965
78,atafu village,-8.5421,-172.5159,28.3,77,11,10.46,TK,1723866966
79,porto seguro,-16.4497,-39.0647,21.29,83,40,1.03,BR,1723866968
